rank,account_id,name,website,street,city,region,postal_code,country,phone,employees,size_band,categories,sources,signals,score,region_status,tech_status,tech_detected,fit,fit_score,what_they_do
1,helloaviary-ai,AviaryAI,http://www.helloaviary.ai,,Chicago,IL,,US,,10,under 20,Fintech; Fintech; Fintech; B2B; AI; AI Assistant,yc_directory,Funded by Y Combinator (Summer 2022); Hiring (YC directory),9,in,,tag_manager:google_tag_manager,,,
2,healiahealth-com,Healia,https://www.healiahealth.com/,,Columbus,OH,,US,,15,under 20,Fintech; Fintech; Insurance,yc_directory,Funded by Y Combinator (Winter 2024); Hiring (YC directory),9,in,,,,,
3,letter-ai,Letter AI,https://www.letter.ai,,Chicago,IL,,US,,70,20-99,B2B; B2B; Productivity,yc_directory,Funded by Y Combinator (Summer 2023); Hiring (YC directory),9,in,,tag_manager:google_tag_manager,,,
4,perspectiveshealth-ai,Perspectives Health,https://perspectiveshealth.ai/,,Chicago,IL,,US,,5,under 20,Healthcare; Healthcare; Healthcare IT; Workflow Automation; Healthcare; Mental Health; Healthcare IT,yc_directory,Funded by Y Combinator (Summer 2025); Hiring (YC directory),9,in,,,,,
5,usepylon-com,Pylon,https://usepylon.com/?utm_source=bookface&utm_medium=referral&utm_campaign=pylon-profile,,Bridgeton,MO,,US,,120,100-249,B2B; B2B; Operations; B2B; Customer Success; Customer Support; AI,yc_directory,Funded by Y Combinator (Winter 2023); Hiring (YC directory),9,in,,tag_manager:google_tag_manager,,,
6,spotdx-com,Spot Health,https://spotdx.com,,Cincinnati,OH,,US,,9,under 20,Healthcare; Healthcare; Diagnostics; Telehealth; Healthcare; Diagnostics,yc_directory,Funded by Y Combinator (Winter 2022); Hiring (YC directory),9,in,,,,,
7,albiware-com,Albiware Inc.,https://www.albiware.com,,Downers Grove,IL,,US,,12,under 20,Real Estate and Construction; Real Estate and Construction; Construction; SaaS; Insurance,yc_directory,Funded by Y Combinator (Summer 2022),6,in,,chat:hubspot_chat; tag_manager:google_tag_manager,,,
8,search-artemis-com,Artemis Search,https://search-artemis.com/,,Rochester,MN,,US,,3,under 20,B2B; B2B; Artificial Intelligence; Machine Learning; SaaS; B2B; Search,yc_directory,Funded by Y Combinator (Summer 2022),6,in,,,,,
9,usebluehill-com,BlueHill Payments,https://www.useBlueHill.com/,,Chicago,IL,,US,,2,under 20,B2B; B2B; Productivity; Payments; Productivity; Operations,yc_directory,Funded by Y Combinator (Summer 2022),6,in,,,,,
10,nearwave-co,NearWave,http://nearwave.co,,South Bend,IN,,US,,3,under 20,Healthcare; Healthcare; Medical Devices; Artificial Intelligence; Hard Tech; Hardware; SaaS; Medical Devices,yc_directory,Funded by Y Combinator (Winter 2022),6,in,,,,,
11,noorahealth-org,Noora Health,http://noorahealth.org,,Traverse City,MI,,US,,500,250+,Healthcare; Healthcare; Consumer Health Services,yc_directory,Hiring (YC directory),6,in,,tag_manager:google_tag_manager,,,
12,onboard-io,Onboard.io,https://onboard.io,,Detroit,MI,,US,,6,under 20,B2B; B2B; Productivity; SaaS; B2B; Productivity; Customer Success; Collaboration,yc_directory,Funded by Y Combinator (Winter 2022),6,in,,tag_manager:google_tag_manager,,,
13,precip-ai,Precip,https://precip.ai,,Ann Arbor,MI,,US,,3,under 20,B2B; B2B; Consumer; Climate; API; Agriculture; AI,yc_directory,Funded by Y Combinator (Winter 2024),6,in,,tag_manager:google_tag_manager,,,
14,ravion-com,Ravion,https://www.ravion.com?ref=bookface,,Dayton,OH,,US,,3,under 20,B2B; B2B; Infrastructure; Cloud Computing,yc_directory,Funded by Y Combinator (Winter 2022),6,in,,,,,
15,shipbob-com,ShipBob,http://shipbob.com,,Chicago,IL,,US,,1,under 20,B2B; B2B; Supply Chain and Logistics; Logistics; E-commerce,yc_directory,Hiring (YC directory),6,in,,tag_manager:google_tag_manager,,,
16,vouch-us,Vouch,http://vouch.us,,Chicago,IL,,US,,190,100-249,Fintech; Fintech; Insurance; Fintech; B2B,yc_directory,Hiring (YC directory),6,in,,chat:zendesk; tag_manager:google_tag_manager; tag_manager:segment,,,
17,pyrls-com,Pyrls,https://pyrls.com,,Minneapolis,MN,,US,,3,under 20,Healthcare; Healthcare; Healthcare IT; SaaS; Healthcare,yc_directory,Funded by Y Combinator (Winter 2022),4,in,,,,,
18,tagsafe-io,Tagsafe,http://www.tagsafe.io,,Cincinnati,OH,,US,,,unknown,"B2B; B2B; Engineering, Product and Design; SaaS; B2B; Analytics; Automation",yc_directory,Funded by Y Combinator (Winter 2023),4,in,,,,,
