rank,account_id,name,website,street,city,region,postal_code,country,phone,employees,size_band,categories,sources,signals,score,region_status,fit,fit_score,what_they_do
1,valmatic-com,Val-Matic Valve & Mfg. Corp.,https://www.valmatic.com/,905 S Riverside Dr,Elmhurst,IL,60126,US,,185,100-249,"Water and wastewater valves; Angle valves, industrial-type, manufacturing; NAICS 332911",csv; osha_ita,,6,in,strong,5,"Makes air release and air/vacuum valves for clean water and wastewater, plus butterfly, ball, check, and plug valves. Elmhurst plant with 185 average employees per its 2024 OSHA filing."
2,sloan-com,Sloan Valve,https://www.sloan.com/,10500 Seymour Ave,Franklin Park,IL,60131,US,,590,250+,"Plumbing valves; Flush valves; Flush valves, plumbing, manufacturing; NAICS 332913",csv; osha_ita,,5,in,strong,5,"Flushometers, faucets, and sink systems for commercial restrooms. Its 2024 OSHA filing confirms a Franklin Park plant making plumbing flush valves, with 590 average employees."
3,watersaver-faucet-chicago-il,WaterSaver Faucet Co,,701 W. Erie Str.,Chicago,IL,60654,US,,180,100-249,"Flush valves, plumbing, manufacturing; NAICS 332913",osha_ita,,3,in,possible,4,Unverified beyond its filing: a 2024 OSHA filing lists WaterSaver Faucet Co in Chicago (60654) as a flush valve and plumbing manufacturer with 180 average employees. No website was read.
4,xylem-com,Bell & Gossett (Xylem),https://www.xylem.com/en-us/brand/bell-gossett/,8200 N Austin Ave,Morton Grove,IL,60053,US,,,unknown,Hydronic pumps and valves,csv,,2,in,possible,4,"Unverified: the site returned HTTP 403. A search listing says Bell & Gossett makes hydronic and plumbing valves, pumps, and heat exchangers, with products made in Morton Grove."
5,chicagofaucets-com,Chicago Faucets,https://www.chicagofaucets.com/,,Des Plaines,IL,60018,US,,,unknown,Faucets; Mixing valves,csv,,2,in,possible,4,Unverified: the site returned HTTP 403. A search listing says it is headquartered in Des Plaines and makes commercial faucets and thermostatic mixing valves.
6,gesafety-com,Guardian Equipment,https://www.gesafety.com/,1140 N North Branch St.,Chicago,IL,60642,US,,80,20-99,"Emergency eyewash; Mixing valves; Plumbing fixture fittings and trim, all materials, manufacturing; NAICS 332913",csv; osha_ita,,8,in,possible,3,Chicago maker of emergency eyewash and shower equipment whose site lists faucet-mounted and thermostatic mixing valves; its 2024 OSHA filing shows plumbing fitting manufacturing with 80 average employees.
7,metraflex-com,Metraflex Company,https://www.metraflex.com/,2323 W Hubbard St,Chicago,IL,60612,US,,,unknown,HVAC piping products,csv,,4,in,possible,3,"Chicago maker of HVAC piping products, mainly expansion joints, pump connectors, and strainers, whose site also lists valves and a hydronic check valve."
8,dixonvalve-com,"Dixon Brass A Division of Dixon Valve & Coupling Company, LLC",http://www.dixonvalve.com,40 Chestnut Avenue,Westmont,IL,60559,US,630-323-4442,,unknown,Pipes and Related Products; Fittings,nsf,,2,in,possible,3,"NSF/ANSI 61 certified drinking water fittings made at a Westmont, IL plant, listed under Dixon Brass, a division of Dixon Valve & Coupling Company."
9,keckley-com,Keckley Company,https://www.keckley.com/,3400 Cleveland St,Skokie,IL,60076,US,,,unknown,Strainers; Check and float valves,csv,,2,in,possible,3,"Unverified: the website did not resolve. A search listing describes a family-owned Skokie maker of strainers and check, float, control, and relief valves for air, water, steam, and gas."
10,fluid-connectors-broadview-il,Fluid Connectors,,2445 S 25th Ave,Broadview,IL,60103,US,,32,20-99,Industrial Valve Manufacturing; NAICS 332911,osha_ita,,5,in,possible,2,Unverified beyond its filing: a 2024 OSHA filing lists a Fluid Connectors plant in Broadview under industrial valve manufacturing with 32 average employees.
11,vonberg-valve-itasca-il,"Vonberg Valve, inc.",,1380 Norwood Ave,Itasca,IL,60143,US,,39,20-99,"Valves, industrial-type (e.g., check, gate, globe, relief, safety), manufacturing; NAICS 332911",osha_ita,,5,in,possible,2,"Unverified beyond its filing: a 2024 OSHA filing lists Vonberg Valve in Itasca as an industrial valve manufacturer (check, gate, globe, relief, safety) with 39 average employees."
12,andersonfittings-com,Anderson Fittings,http://www.andersonfittings.com,255 East Industry Avenue,Frankfort,IL,60423,US,815-469-8201,,unknown,Potable Water - Pipe and Fittings,nsf,,4,in,possible,2,"Frankfort forging and machining shop supplying components and fittings to commercial and residential plumbing, with NSF-listed potable water fittings from its Frankfort plant."
13,chicagovalves-com,Chicago Valves & Controls,https://chicagovalves.com/,885 Cambridge Dr,Elk Grove Village,IL,60007,US,,,unknown,Industrial valves,csv,,4,in,possible,2,"Elk Grove Village company offering fire-safe, seal-weld, and multi-purpose ball valves, butterfly valves, and actuators."
14,watts-com,Powers (Watts Water Technologies),https://www.watts.com/our-story/brands/powers,,Skokie,IL,,US,,,unknown,Thermostatic mixing valves,csv,,2,in,possible,2,"Unverified: the site returned HTTP 403. A search listing describes Powers as the Watts brand for water tempering and thermostatic mixing valves, with an older listing placing it in Skokie."
