name,website,street,city,region,postal_code,country,categories,note
Sloan Valve Company,https://www.sloan.com/,10500 Seymour Ave,Franklin Park,IL,60131,US,Plumbing valves; Flush valves,Search: privately held maker of plumbing valves and fixtures headquartered in Franklin Park; commercial flush valves and sensor faucets.
Val-Matic Valve & Mfg. Corp.,https://www.valmatic.com/,905 S Riverside Dr,Elmhurst,IL,60126,US,Water and wastewater valves,Search: manufacturer of check plug butterfly ball and air valves for industrial and municipal water and wastewater.
Chicago Faucets,https://www.chicagofaucets.com/,,Des Plaines,IL,60018,US,Faucets; Mixing valves,Search: headquartered in Des Plaines since 1901; commercial faucets and thermostatic mixing valves.
Henry Pratt Company,https://www.henrypratt.com/,,Aurora,IL,60506,US,Butterfly valves; Waterworks,Search: butterfly and plug valves for potable water and wastewater; a 2022 report says the Aurora plant closed and moved to Kimball TN.
Bell & Gossett (Xylem),https://www.xylem.com/en-us/brand/bell-gossett/,8200 N Austin Ave,Morton Grove,IL,60053,US,Hydronic pumps and valves,Search: pumps valves and heat exchangers for hydronic HVAC and plumbing; products made in Morton Grove among other plants.
Keckley Company,https://www.keckley.com/,3400 Cleveland St,Skokie,IL,60076,US,Strainers; Check and float valves,Search: family owned maker of pipeline strainers and check float control and relief valves for air water steam and gas.
Chicago Valves & Controls,https://chicagovalves.com/,885 Cambridge Dr,Elk Grove Village,IL,60007,US,Industrial valves,Search: ball butterfly gate globe and check valves plus actuators.
Guardian Equipment,https://www.gesafety.com/,,Chicago,IL,,US,Emergency eyewash; Mixing valves,Search: makes eyewash and shower equipment and tempering mixing valves in a Chicago facility.
Metraflex Company,https://www.metraflex.com/,2323 W Hubbard St,Chicago,IL,60612,US,HVAC piping products,Search: specialty piping products for commercial HVAC including strainers and check valves for potable water.
Powers (Watts Water Technologies),https://www.watts.com/our-story/brands/powers,,Skokie,IL,,US,Thermostatic mixing valves,Search: water tempering valves brand of Watts; a listing places MCC Powers in Skokie.
Elkay (Zurn Elkay Water Solutions),https://www.elkay.com/,,Downers Grove,IL,60515,US,Faucets; Drinking fountains,Search: faucets water coolers drinking fountains and bottle fillers; Downers Grove offices and a Broadview IL plant.
Magnet-Schultz of America,https://magnet-schultzamerica.com/,,Westmont,IL,60559,US,Solenoids; Solenoid valves,Search: custom solenoids and electrohydraulic and electropneumatic valves for food service industrial and automotive uses.
HydraForce Inc.,https://www.hydraforce.com/,500 Barclay Blvd,Lincolnshire,IL,60069,US,Hydraulic cartridge valves,Search: hydraulic cartridge valves and manifolds.
Midland Manufacturing,https://www.midlandmfg.com/,,Skokie,IL,,US,Tank car valves,Search: valves and level gauges for railroad tank cars; 15 miles north of downtown Chicago.
Chicago Sensor,https://chicagosensor.com/,,Chicago,IL,,US,Float switches,Search: float switches and liquid level sensors.
Mueller Co.,https://www.muellercompany.com/,500 W Eldorado St,Decatur,IL,62522,US,Waterworks valves; Hydrants,Search: corporation and curb valves for water service.
Core & Main West Chicago,https://coreandmain.com/branches/il-chicago-60174-229/,,West Chicago,IL,60185,US,Waterworks distributor,Search: branch supplying water sewer and fire protection products including gate valves.
Littmann Industries,https://littmannindustries.com/,,Chicago,IL,,US,Waterworks distributor,Search: Chicago waterworks distributor.
M&M Control,https://www.mmcontrol.com/,,Lake Villa,IL,60046,US,Valve distributor,Search: distributor for Powers and Chicago Valves.
