rank,account_id,name,website,street,city,region,postal_code,country,phone,employees,size_band,categories,sources,signals,score,region_status,tech_status,tech_detected,fit,fit_score,what_they_do
1,1stcollab-com,1stCollab,https://1stcollab.com/,,San Francisco,CA,,US,,11,under 20,B2B; B2B; Marketing; Artificial Intelligence; Machine Learning; Marketing; Advertising; Creator Economy,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
2,abacum-ai,Abacum,https://www.abacum.ai/,,New York City,NY,,US,,125,100-249,B2B; B2B; Finance and Accounting; FinOps; SaaS,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
3,activeloop-ai,Activeloop,https://activeloop.ai/,,San Francisco,CA,,US,,15,under 20,B2B; B2B; Infrastructure; Computational Storage; Deep Learning; Generative AI; Computer Vision; Open Source,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
4,afterquery-com,AfterQuery,https://afterquery.com,,San Francisco,CA,,US,,30,20-99,B2B; B2B; Infrastructure; Artificial Intelligence; B2B; Data Labeling; Big Data; AI,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
5,useagave-com,Agave,https://www.useagave.com,,San Francisco,CA,,US,,50,20-99,B2B; B2B; SaaS; Construction; B2B; Proptech,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
6,getagency-com,Agency,https://GetAgency.com,,New York City,NY,,US,,50,20-99,B2B; B2B; Security; SaaS; B2B; Compliance; Security; Enterprise,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
7,airgoods-com,Airgoods,https://airgoods.com/,,New York City,NY,,US,,10,under 20,B2B; B2B; Retail; Grocery; Supply Chain; Food & Beverage,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
8,aivideo-com,AIVideo.com,https://aivideo.com,,San Francisco,CA,,US,,12,under 20,B2B; B2B,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
9,arnata-com,arnata,https://arnata.com,,San Francisco,CA,,US,,15,under 20,B2B; B2B; Supply Chain and Logistics; Artificial Intelligence; Generative AI; B2B; Logistics; Supply Chain,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
10,artie-com,Artie,https://www.artie.com/,,San Francisco,CA,,US,,16,under 20,B2B; B2B; Infrastructure; Developer Tools; SaaS; Data Engineering; Enterprise Software,yc_directory,Hiring (YC directory),6,in,chat=absent,,,,
